filename;prompt
business-life-insurance-diverse-team-confidence-banner;A diverse team of professionals around a boardroom table, looking confidently towards the future in a bright, modern office setting.
business-life-insurance-handshake-agreement-featured;A close-up shot of two hands shaking firmly, sealing a business agreement with a backdrop of architectural blueprints, symbolising a secure partnership.
business-life-insurance-shield-security-stability-midcon;A stylised graphic showing a protective shield icon over a flowchart of a business structure, representing security and stability.
critical-illness-cover-active-family-wellbeing-banner;A healthy, active family cycling together through a sunny park, conveying a sense of wellbeing and a protected future.
critical-illness-cover-doctor-reassuring-patient-featured;A close-up of a doctor's reassuring hands resting on a patient's shoulder in a calm, clinical setting.
critical-illness-cover-shield-protection-illness-midcon;A stylised graphic of a heart, brain, and other organs being shielded by a large, transparent umbrella, symbolising protection against illness.
family-income-benefit-family-playing-security-banner;A young family laughing and playing together in their back garden, bathed in warm, natural sunlight, projecting a feeling of security and happiness.
family-income-benefit-hands-holding-protection-featured;A close-up shot of a parent's hands securely holding a child's smaller hands, symbolising protection and care.
family-income-benefit-calendar-income-stream-midcon;A simple animated graphic showing a monthly calendar with pound signs appearing on each day, illustrating the concept of a regular income stream.
family-life-insurance-family-picnic-security-banner;A vibrant photo of a multi-generational family enjoying a picnic in a beautiful, sunny park, conveying happiness and security.
family-life-insurance-parent-child-protection-featured;A close-up, tender moment of a parent's hands carefully buttoning up their young child's coat, symbolising protection and love.
family-life-insurance-umbrella-shelter-protection-midcon;A simple, clean graphic showing a house, a graduation cap, and a shopping trolley all sheltered under a large, protective umbrella.
guaranteed-life-insurance-mature-peace-planning-banner;A serene image of a thoughtful, mature individual looking out over a calm British coastline at sunset, conveying peace and forward planning.
guaranteed-life-insurance-older-coins-gift-featured;A close-up of an older person's hands placing a few coins into a piggy bank, symbolising leaving a small, cherished gift behind.
guaranteed-life-insurance-calendar-waiting-period-midcon;A simple graphic showing a calendar page for '12 months' with a red line through it, clearly illustrating the concept of the initial waiting period.
income-protection-insurance-relieved-calm-control-banner;A relieved-looking individual sitting comfortably at their kitchen table with a laptop and a cup of tea, with paperwork neatly organised, conveying a sense of calm and financial control despite being unable to work.
income-protection-insurance-tradesperson-office-worker-protected-featured;A split image showing a manual tradesperson on one side and an office worker on the other, both looking confident and protected, illustrating the policy's versatility.
income-protection-insurance-money-shield-income-midcon;A simple animated graphic showing money flowing from an insurance company shield icon into a house icon, representing the replacement of income to cover household bills.
joint-life-insurance-couple-new-home-future-banner;A happy couple in their 30s standing in front of their new home, holding a 'Sold' sign and house keys, looking excitedly towards their future.
joint-life-insurance-hands-intertwined-key-featured;A close-up of two hands, intertwined, holding a single house key, symbolising a shared life and responsibility.
joint-life-insurance-documents-merging-cost-saving-midcon;A simple animated graphic showing two individual policy documents merging into one, with a pound sign that is slightly smaller than two separate ones, illustrating the cost-saving concept.
life-insurance-family-hands-protection-banner;A warm, soft-focus shot of a family's hands (grandparent, parent, child) stacked on top of each other, symbolising generational protection and love.
life-insurance-couple-smiling-new-home-featured;A young couple smiling, holding the keys to their new home, with the house visible but softly blurred in the background, representing a protected future.
life-insurance-umbrella-shielding-family-midcon;A simple, reassuring graphic of a large, strong umbrella shielding a family from rain clouds, illustrating the concept of financial protection.
